staff_id,name,role,outlet_id,hire_date,monthly_salary,status
STF104,Maya Ramadhan,Kasir,OUT018,2021-05-01,3120000,active
STF105,Tegar Fauzi,Supervisor,OUT018,2020-10-05,4991000,active
STF106,Eko Kusuma,Barista,OUT018,2019-01-11,3218000,active
STF107,Adit Handayani,Barista,OUT018,2022-04-07,2833000,active
STF108,Aldo Marlina,Barista,OUT018,2024-02-03,2872000,active
STF109,Diana Hartono,Supervisor,OUT019,2021-03-21,5370000,resigned
STF110,Wahyu Hidayat,Supervisor,OUT019,2020-09-02,5044000,resigned
STF111,Rina Rahmawati,Barista,OUT019,2020-11-10,3114000,active
STF112,Nadia Susilo,Barista,OUT019,2022-03-28,3249000,active
STF113,Aldo Marlina,Barista,OUT019,2023-07-07,3078000,active
STF114,Indah Nugroho,Kasir,OUT019,2019-11-26,3106000,active
STF115,Dimas Maulana,Barista,OUT020,2022-08-13,3418000,active
STF116,Eko Sari,Kasir,OUT020,2019-03-26,3191000,active
STF117,Yuni Susilo,Barista,OUT020,2019-06-14,2979000,terminated
STF118,Rian Nugroho,Kasir,OUT020,2022-02-13,2892000,active
STF119,Putri Hidayat,Manager,OUT020,2024-07-07,6373000,resigned
STF120,Dimas Setiawan,Supervisor,OUT020,2022-08-08,5872000,active
